hhid,head_siblings,debt_ratio_winsorized,log_debt_ratio_winsorized,total_debt,total_assets,head_age,head_is_male,head_educ,head_is_married,head_health,has_business,num_houses,log_total_assets
2017003581,,0.0,-6.907755278982137,0.0,61500.0,45.0,0.0,2.0,1.0,3.0,0.0,1.0,11.026808713825016
2015000123,,0.0,-6.907755278982137,0.0,5197020.0,59.0,1.0,4.0,1.0,3.0,0.0,1.0,15.46359613477518
2013006835,,0.0,-6.907755278982137,0.0,6200.0,70.0,0.0,2.0,1.0,4.0,0.0,1.0,8.732465848349879
201103385,,0.0,-6.907755278982137,0.0,430000.0,68.0,1.0,2.0,1.0,2.0,1.0,1.0,12.971542813248437
2015030627,,0.0,-6.907755278982137,0.0,641600.0,54.0,0.0,4.0,1.0,2.0,1.0,1.0,13.37172189413672
2015012549,1.0,0.0,-6.907755278982137,0.0,1043004.0,26.0,0.0,3.0,1.0,3.0,1.0,1.0,13.857616527835273
201107604,1.0,0.0,-6.907755278982137,0.0,230000.0,37.0,0.0,5.0,1.0,3.0,1.0,1.0,12.345838935721968
2013004465,,0.0,-6.907755278982137,0.0,20500.0,47.0,0.0,2.0,1.0,2.0,0.0,1.0,9.928228944424575
2017003589,,0.0,-6.907755278982137,0.0,500.0,84.0,0.0,2.0,0.0,2.0,0.0,0.0,6.2166061010848646
2013008835,,0.0,-6.907755278982137,0.0,2854200.0,49.0,1.0,4.0,0.0,3.0,0.0,1.0,14.864302502009238
201108256,,0.0,-6.907755278982137,0.0,173000.0,53.0,1.0,3.0,0.0,3.0,0.0,1.0,12.06105265381003
2015011487,,0.0,-6.907755278982137,0.0,4012000.0,76.0,0.0,3.0,0.0,2.0,0.0,1.0,15.204800677316175
2015034642,,0.0,-6.907755278982137,0.0,38000.0,46.0,1.0,3.0,1.0,2.0,0.0,0.0,10.545367754151743
2015031620,,0.21249999999999977,-1.544118446313459,204000.0,960000.0,42.0,0.0,3.0,1.0,2.0,0.0,2.0,13.774689605110144
2017003595,,0.0,-6.907755278982137,0.0,5242050.0,80.0,1.0,7.0,1.0,2.0,0.0,1.0,15.472223391929187
2015022336,2.0,0.48661800486617945,-0.7182229565723782,400000.0,822000.0,30.0,1.0,7.0,0.0,1.0,0.0,2.0,13.619496890582589
201107912,,0.17337031900138664,-1.7465739712033177,90000.0,519120.0,54.0,0.0,2.0,1.0,2.0,0.0,2.0,13.159892275630073
2013005030,,0.0,-6.907755278982137,0.0,106900.0,57.0,0.0,2.0,1.0,2.0,0.0,1.0,11.579658451506333
2013023841,2.0,0.0,-6.907755278982137,0.0,202150.0,40.0,0.0,2.0,1.0,4.0,0.0,1.0,12.216770221878349
201104199,,0.0,-6.907755278982137,0.0,215300.0,78.0,0.0,2.0,0.0,2.0,1.0,1.0,12.279792328023508
2013013877,,0.0,-6.907755278982137,0.0,10300.0,67.0,0.0,2.0,1.0,5.0,0.0,1.0,9.239996256883693
2013009628,,0.0,-6.907755278982137,0.0,697000.0,51.0,1.0,4.0,1.0,2.0,0.0,2.0,13.454542124461861
201101517,,0.0,-6.907755278982137,0.0,115030.0,70.0,0.0,2.0,0.0,1.0,0.0,1.0,11.652956936236603
2017003604,,0.0,-6.907755278982137,0.0,21400.0,65.0,1.0,3.0,1.0,3.0,0.0,1.0,9.97119292889014
2015025011,,0.0,-6.907755278982137,0.0,119500.0,49.0,1.0,2.0,0.0,4.0,0.0,1.0,11.691080018519527
2013016756,,0.0,-6.907755278982137,0.0,524700.0,65.0,1.0,3.0,1.0,3.0,0.0,1.0,13.17058385552395
2017003607,2.0,0.8157894736842084,-0.20237389947695533,310000.0,380000.0,38.0,0.0,6.0,1.0,2.0,1.0,0.0,12.847929163278053
2017003608,,0.0,-6.907755278982137,0.0,208000.0,61.0,1.0,6.0,0.0,3.0,0.0,1.0,12.245298166364206
2017003609,0.0,0.0,-6.907755278982137,0.0,1126500.0,23.0,0.0,6.0,0.0,2.0,0.0,1.0,13.934626926559323
2017003610,,0.0,-6.907755278982137,0.0,4096000.0,61.0,1.0,3.0,1.0,3.0,0.0,2.0,15.225521689842076
2013017074,,0.18561441852803084,-1.6787107238432677,80000.0,431001.0,53.0,1.0,2.0,1.0,2.0,0.0,1.0,12.973868009446347
2013021775,,0.0,-6.907755278982137,0.0,539200.0,47.0,1.0,7.0,1.0,2.0,0.0,1.0,13.197843693177921
2013011419,,0.0,-6.907755278982137,0.0,3300.0,72.0,0.0,2.0,0.0,3.0,0.0,0.0,8.101980731853192
2015009858,,0.26475037821482406,-1.3251978385632597,35000.0,132200.0,45.0,0.0,2.0,1.0,3.0,0.0,1.0,11.792078770667635
201106262,,11.15241635687525,2.4117458506950733,40000.0,2900.0,45.0,0.0,3.0,1.0,3.0,0.0,0.0,7.972810784121404
2015019768,,0.0,-6.907755278982137,0.0,1225000.0,72.0,1.0,3.0,1.0,2.0,0.0,1.0,14.018452218287162
2015006856,,0.0,-6.907755278982137,0.0,74000.0,52.0,0.0,2.0,1.0,3.0,0.0,1.0,11.211833885608513
2017003618,0.0,0.0,-6.907755278982137,0.0,2019500.0,25.0,0.0,3.0,1.0,3.0,1.0,1.0,14.518361009157553
201107292,,0.7423353871279007,-0.2966079402475665,150000.0,202065.0,47.0,1.0,3.0,1.0,3.0,0.0,1.0,12.216349655691113
2017003620,,0.0,-6.907755278982137,0.0,841000.0,76.0,0.0,2.0,0.0,4.0,0.0,1.0,13.642348128015021
2013017480,,0.0,-6.907755278982137,0.0,1000.0,85.0,1.0,2.0,0.0,3.0,0.0,1.0,6.90875477931522
